substance,shortName
http://sawgraph.spatialai.org/v1/me-egad#parameter.10-2_FTS_A,10-2_FTS
http://sawgraph.spatialai.org/v1/me-egad#parameter.11CL-PF3OUDS_A,11CL-PF3OUDS
http://sawgraph.spatialai.org/v1/me-egad#parameter.11CL-PF3OUDS,11CL-PF3OUDS
http://sawgraph.spatialai.org/v1/me-egad#parameter.3-3_FTC_A,3-3_FTC
http://sawgraph.spatialai.org/v1/me-egad#parameter.4-2_FTS_A,4-2_FTS
http://sawgraph.spatialai.org/v1/me-egad#parameter.4-2_FTS,4-2_FTS
http://sawgraph.spatialai.org/v1/me-egad#parameter.5-3_FTC_A,5-3_FTC
http://sawgraph.spatialai.org/v1/me-egad#parameter.6-2_FTC_A,6-2_FTC
http://sawgraph.spatialai.org/v1/me-egad#parameter.6-2_FTS_A,6-2_FTS
http://sawgraph.spatialai.org/v1/me-egad#parameter.6-2_FTS,6-2_FTS
http://sawgraph.spatialai.org/v1/me-egad#parameter.6-2_FTUC_A,6-2_FTUC
http://sawgraph.spatialai.org/v1/me-egad#parameter.7-3_FTC_A,7-3_FTC
http://sawgraph.spatialai.org/v1/me-egad#parameter.8-2_FTC_A,8-2_FTC
http://sawgraph.spatialai.org/v1/me-egad#parameter.8-2_FTS_A,8-2_FTS
http://sawgraph.spatialai.org/v1/me-egad#parameter.8-2_FTS,8-2_FTS
http://sawgraph.spatialai.org/v1/me-egad#parameter.8-2_FTUC_A,8-2_FTUC
http://sawgraph.spatialai.org/v1/me-egad#parameter.9CL-PF3ONS_A,9CL-PF3ONS
http://sawgraph.spatialai.org/v1/me-egad#parameter.9CL-PF3ONS,9CL-PF3ONS
http://sawgraph.spatialai.org/v1/me-egad#parameter.ADONA_A,ADONA
http://sawgraph.spatialai.org/v1/me-egad#parameter.ADONA,ADONA
http://sawgraph.spatialai.org/v1/me-egad#parameter.FBSA,FBSA
http://sawgraph.spatialai.org/v1/me-egad#parameter.FHXSA,FHXSA
http://sawgraph.spatialai.org/v1/me-egad#parameter.HFPO-DA_A,HFPO-DA
http://sawgraph.spatialai.org/v1/me-egad#parameter.N-ETFOSA,N-ETFOSA
http://sawgraph.spatialai.org/v1/me-egad#parameter.N-EtFOSAA_A,N-EtFOSAA
http://sawgraph.spatialai.org/v1/me-egad#parameter.N-EtFOSAA_A_BR,N-EtFOSAA_BR
http://sawgraph.spatialai.org/v1/me-egad#parameter.N-EtFOSAA_A_L,N-EtFOSAA_L
http://sawgraph.spatialai.org/v1/me-egad#parameter.N-EtFOSE,N-EtFOSE
http://sawgraph.spatialai.org/v1/me-egad#parameter.N-MEFOSA,N-MEFOSA
http://sawgraph.spatialai.org/v1/me-egad#parameter.N-MEFOSE,N-MEFOSE
http://sawgraph.spatialai.org/v1/me-egad#parameter.N-MeFOSAA_A,N-MeFOSAA
http://sawgraph.spatialai.org/v1/me-egad#parameter.N-MeFOSAA_A_BR,N-MeFOSAA_BR
http://sawgraph.spatialai.org/v1/me-egad#parameter.N-MeFOSAA_A_L,N-MeFOSAA_L
http://sawgraph.spatialai.org/v1/me-egad#parameter.PF05DOD_A,PF05DOD
http://sawgraph.spatialai.org/v1/me-egad#parameter.PFBA_A,PFBA
http://sawgraph.spatialai.org/v1/me-egad#parameter.PFBA,PFBA
http://sawgraph.spatialai.org/v1/me-egad#parameter.PFBS_A,PFBS
